,img_name,total_objects,total_area
100,ImgROI_1090_Tile_00_Date_20240603.tif,190,299836
101,ImgROI_1091_Tile_00_Date_20240603.tif,100,17420
102,ImgROI_1092_Tile_00_Date_20240603.tif,204,258294
103,ImgROI_1093_Tile_00_Date_20240603.tif,92,393880
104,ImgROI_1094_Tile_00_Date_20240603.tif,289,333869
105,ImgROI_1095_Tile_00_Date_20240603.tif,233,263231
106,ImgROI_1096_Tile_00_Date_20240603.tif,110,55059
107,ImgROI_1097_Tile_00_Date_20240603.tif,109,54663
108,ImgROI_1098_Tile_00_Date_20240603.tif,61,42920
109,ImgROI_1099_Tile_00_Date_20240603.tif,0,0
110,ImgROI_109_Tile_00_Date_20240603.tif,41,276999
111,ImgROI_10_Tile_00_Date_20240603.tif,3,441
112,ImgROI_1100_Tile_00_Date_20240603.tif,269,202552
113,ImgROI_1101_Tile_00_Date_20240603.tif,85,129602
114,ImgROI_1102_Tile_00_Date_20240603.tif,116,454920
115,ImgROI_1103_Tile_00_Date_20240603.tif,89,25859
116,ImgROI_1104_Tile_00_Date_20240603.tif,5,2041
117,ImgROI_1105_Tile_00_Date_20240603.tif,25,9373
118,ImgROI_1106_Tile_00_Date_20240603.tif,2,611
119,ImgROI_1107_Tile_00_Date_20240603.tif,5,327699
120,ImgROI_1108_Tile_00_Date_20240603.tif,6,258568
121,ImgROI_1109_Tile_00_Date_20240603.tif,1,166
122,ImgROI_110_Tile_00_Date_20240603.tif,7,2397
123,ImgROI_1110_Tile_00_Date_20240603.tif,0,0
124,ImgROI_1111_Tile_00_Date_20240603.tif,226,345447
125,ImgROI_1112_Tile_00_Date_20240603.tif,237,125197
126,ImgROI_1113_Tile_00_Date_20240603.tif,0,0
127,ImgROI_1114_Tile_00_Date_20240603.tif,21,39411
128,ImgROI_1115_Tile_00_Date_20240603.tif,75,299615
129,ImgROI_1116_Tile_00_Date_20240603.tif,27,20600
130,ImgROI_1117_Tile_00_Date_20240603.tif,13,6777
131,ImgROI_1118_Tile_00_Date_20240603.tif,18,40357
132,ImgROI_1119_Tile_00_Date_20240603.tif,48,346015
133,ImgROI_111_Tile_00_Date_20240603.tif,14,278913
134,ImgROI_1120_Tile_00_Date_20240603.tif,106,329441
135,ImgROI_1121_Tile_00_Date_20240603.tif,123,351255
136,ImgROI_1122_Tile_00_Date_20240603.tif,82,52657
137,ImgROI_1123_Tile_00_Date_20240603.tif,13,1032
138,ImgROI_1124_Tile_00_Date_20240603.tif,1,956
139,ImgROI_1125_Tile_00_Date_20240603.tif,174,427847
140,ImgROI_1126_Tile_00_Date_20240603.tif,178,128768
141,ImgROI_1127_Tile_00_Date_20240603.tif,11,37763
142,ImgROI_1128_Tile_00_Date_20240603.tif,28,79382
143,ImgROI_1129_Tile_00_Date_20240603.tif,108,66568
144,ImgROI_112_Tile_00_Date_20240603.tif,174,349124
145,ImgROI_1130_Tile_00_Date_20240603.tif,23,87506
146,ImgROI_1131_Tile_00_Date_20240603.tif,164,210670
147,ImgROI_1132_Tile_00_Date_20240603.tif,17,23094
148,ImgROI_1133_Tile_00_Date_20240603.tif,219,337553
149,ImgROI_1134_Tile_00_Date_20240603.tif,67,57652
150,ImgROI_1135_Tile_00_Date_20240603.tif,115,50350
151,ImgROI_1136_Tile_00_Date_20240603.tif,54,20665
152,ImgROI_1137_Tile_00_Date_20240603.tif,0,0
153,ImgROI_1138_Tile_00_Date_20240603.tif,55,26223
154,ImgROI_1139_Tile_00_Date_20240603.tif,74,292027
155,ImgROI_113_Tile_00_Date_20240603.tif,42,153237
156,ImgROI_1140_Tile_00_Date_20240603.tif,0,0
157,ImgROI_1141_Tile_00_Date_20240603.tif,68,268622
158,ImgROI_1142_Tile_00_Date_20240603.tif,51,183842
159,ImgROI_1143_Tile_00_Date_20240603.tif,48,23640
160,ImgROI_1144_Tile_00_Date_20240603.tif,97,392492
161,ImgROI_1145_Tile_00_Date_20240603.tif,166,60787
162,ImgROI_1146_Tile_00_Date_20240603.tif,139,67933
163,ImgROI_1147_Tile_00_Date_20240603.tif,12,3934
164,ImgROI_1148_Tile_00_Date_20240603.tif,339,335069
165,ImgROI_1149_Tile_00_Date_20240603.tif,207,55486
166,ImgROI_114_Tile_00_Date_20240603.tif,43,162109
167,ImgROI_1150_Tile_00_Date_20240603.tif,360,455214
168,ImgROI_1151_Tile_00_Date_20240603.tif,1,2130
169,ImgROI_1152_Tile_00_Date_20240603.tif,8,17933
170,ImgROI_1153_Tile_00_Date_20240603.tif,81,38831
171,ImgROI_1154_Tile_00_Date_20240603.tif,380,353236
172,ImgROI_1155_Tile_00_Date_20240603.tif,252,326456
173,ImgROI_1156_Tile_00_Date_20240603.tif,267,360949
174,ImgROI_1157_Tile_00_Date_20240603.tif,37,44112
175,ImgROI_1158_Tile_00_Date_20240603.tif,14,1559
176,ImgROI_1159_Tile_00_Date_20240603.tif,111,39374
177,ImgROI_115_Tile_00_Date_20240603.tif,27,307858
178,ImgROI_1160_Tile_00_Date_20240603.tif,109,342390
179,ImgROI_1161_Tile_00_Date_20240603.tif,110,269061
180,ImgROI_1162_Tile_00_Date_20240603.tif,30,17502
181,ImgROI_1163_Tile_00_Date_20240603.tif,35,73426
182,ImgROI_1164_Tile_00_Date_20240603.tif,22,45754
183,ImgROI_1165_Tile_00_Date_20240603.tif,54,330583
184,ImgROI_1166_Tile_00_Date_20240603.tif,7,8845
185,ImgROI_1167_Tile_00_Date_20240603.tif,58,142569
186,ImgROI_1168_Tile_00_Date_20240603.tif,41,29703
187,ImgROI_1169_Tile_00_Date_20240603.tif,114,289623
188,ImgROI_116_Tile_00_Date_20240603.tif,11,37898
189,ImgROI_1170_Tile_00_Date_20240603.tif,0,0
190,ImgROI_1171_Tile_00_Date_20240603.tif,84,289884
191,ImgROI_1172_Tile_00_Date_20240603.tif,72,193377
192,ImgROI_1173_Tile_00_Date_20240603.tif,53,106519
193,ImgROI_1174_Tile_00_Date_20240603.tif,4,258148
194,ImgROI_1175_Tile_00_Date_20240603.tif,111,112600
195,ImgROI_1176_Tile_00_Date_20240603.tif,11,7755
196,ImgROI_1177_Tile_00_Date_20240603.tif,188,77001
197,ImgROI_1178_Tile_00_Date_20240603.tif,71,389552
198,ImgROI_1179_Tile_00_Date_20240603.tif,104,113153
199,ImgROI_117_Tile_00_Date_20240603.tif,12,85675
200,ImgROI_1180_Tile_00_Date_20240603.tif,398,482297
201,ImgROI_1181_Tile_00_Date_20240603.tif,267,139594
202,ImgROI_1182_Tile_00_Date_20240603.tif,0,0
203,ImgROI_1183_Tile_00_Date_20240603.tif,389,429270
204,ImgROI_1184_Tile_00_Date_20240603.tif,71,35757
205,ImgROI_1185_Tile_00_Date_20240603.tif,593,471640
206,ImgROI_1186_Tile_00_Date_20240603.tif,511,475885
207,ImgROI_1187_Tile_00_Date_20240603.tif,343,129886
208,ImgROI_1188_Tile_00_Date_20240603.tif,31,4830
209,ImgROI_1189_Tile_00_Date_20240603.tif,65,49140
210,ImgROI_118_Tile_00_Date_20240603.tif,0,0
211,ImgROI_1190_Tile_00_Date_20240603.tif,2,87
212,ImgROI_1191_Tile_00_Date_20240603.tif,15,261989
213,ImgROI_1192_Tile_00_Date_20240603.tif,16,5691
214,ImgROI_1193_Tile_00_Date_20240603.tif,3,860
215,ImgROI_1194_Tile_00_Date_20240603.tif,15,264880
216,ImgROI_1195_Tile_00_Date_20240603.tif,40,366397
217,ImgROI_1196_Tile_00_Date_20240603.tif,0,0
218,ImgROI_1197_Tile_00_Date_20240603.tif,46,10304
219,ImgROI_1198_Tile_00_Date_20240603.tif,34,6292
220,ImgROI_1199_Tile_00_Date_20240603.tif,100,287361
221,ImgROI_119_Tile_00_Date_20240603.tif,32,2581
222,ImgROI_11_Tile_00_Date_20240603.tif,75,73772
223,ImgROI_1200_Tile_00_Date_20240603.tif,29,229900
224,ImgROI_1201_Tile_00_Date_20240603.tif,72,421030
225,ImgROI_1202_Tile_00_Date_20240603.tif,4,3990
226,ImgROI_1203_Tile_00_Date_20240603.tif,45,375857
227,ImgROI_1204_Tile_00_Date_20240603.tif,66,58993
228,ImgROI_1205_Tile_00_Date_20240603.tif,108,385507
229,ImgROI_1206_Tile_00_Date_20240603.tif,91,349618
230,ImgROI_1207_Tile_00_Date_20240603.tif,91,170844
231,ImgROI_1208_Tile_00_Date_20240603.tif,41,47793
232,ImgROI_1209_Tile_00_Date_20240603.tif,1,43
233,ImgROI_120_Tile_00_Date_20240603.tif,86,86551
234,ImgROI_1210_Tile_00_Date_20240603.tif,147,147425
235,ImgROI_1211_Tile_00_Date_20240603.tif,127,154171
236,ImgROI_1212_Tile_00_Date_20240603.tif,186,247126
237,ImgROI_1213_Tile_00_Date_20240603.tif,107,135356
238,ImgROI_1214_Tile_00_Date_20240603.tif,6,10078
239,ImgROI_1215_Tile_00_Date_20240603.tif,25,343592
240,ImgROI_1216_Tile_00_Date_20240603.tif,2,3484
241,ImgROI_1217_Tile_00_Date_20240603.tif,8,3236
242,ImgROI_1218_Tile_00_Date_20240603.tif,6,2702
243,ImgROI_1219_Tile_00_Date_20240603.tif,42,69722
244,ImgROI_121_Tile_00_Date_20240603.tif,7,367346
245,ImgROI_1220_Tile_00_Date_20240603.tif,137,372016
246,ImgROI_1221_Tile_00_Date_20240603.tif,94,134558
247,ImgROI_1222_Tile_00_Date_20240603.tif,4,2263
248,ImgROI_1223_Tile_00_Date_20240603.tif,116,124904
249,ImgROI_1224_Tile_00_Date_20240603.tif,103,130571
250,ImgROI_1225_Tile_00_Date_20240603.tif,8,43235
251,ImgROI_1226_Tile_00_Date_20240603.tif,6,3852
252,ImgROI_1227_Tile_00_Date_20240603.tif,85,334650
253,ImgROI_1228_Tile_00_Date_20240603.tif,47,326159
254,ImgROI_1229_Tile_00_Date_20240603.tif,42,174421
255,ImgROI_122_Tile_00_Date_20240603.tif,16,5458
256,ImgROI_1230_Tile_00_Date_20240603.tif,183,361111
257,ImgROI_1231_Tile_00_Date_20240603.tif,25,78057
258,ImgROI_1232_Tile_00_Date_20240603.tif,64,29720
259,ImgROI_1233_Tile_00_Date_20240603.tif,10,4368
260,ImgROI_1234_Tile_00_Date_20240603.tif,139,163132
261,ImgROI_1235_Tile_00_Date_20240603.tif,185,391372
262,ImgROI_1236_Tile_00_Date_20240603.tif,206,478966
263,ImgROI_1237_Tile_00_Date_20240603.tif,47,173793
264,ImgROI_1238_Tile_00_Date_20240603.tif,39,243058
265,ImgROI_1239_Tile_00_Date_20240603.tif,7,3698
266,ImgROI_123_Tile_00_Date_20240603.tif,37,23659
267,ImgROI_1240_Tile_00_Date_20240603.tif,292,145375
268,ImgROI_1241_Tile_00_Date_20240603.tif,73,199736
269,ImgROI_1242_Tile_00_Date_20240603.tif,132,154967
270,ImgROI_1243_Tile_00_Date_20240603.tif,9,34992
271,ImgROI_1244_Tile_00_Date_20240603.tif,69,45094
272,ImgROI_1245_Tile_00_Date_20240603.tif,15,338219
273,ImgROI_1246_Tile_00_Date_20240603.tif,22,61869
