,img_name,total_objects,total_area
99,ImgROI_108_Tile_00_Date_20240603.tif,21,4428
100,ImgROI_1090_Tile_00_Date_20240603.tif,190,299836
101,ImgROI_1091_Tile_00_Date_20240603.tif,99,16986
102,ImgROI_1092_Tile_00_Date_20240603.tif,187,262527
103,ImgROI_1093_Tile_00_Date_20240603.tif,92,393880
104,ImgROI_1094_Tile_00_Date_20240603.tif,288,316478
105,ImgROI_1095_Tile_00_Date_20240603.tif,233,263231
106,ImgROI_1096_Tile_00_Date_20240603.tif,118,54599
107,ImgROI_1097_Tile_00_Date_20240603.tif,128,55644
108,ImgROI_1098_Tile_00_Date_20240603.tif,65,45165
109,ImgROI_1099_Tile_00_Date_20240603.tif,54,58625
110,ImgROI_109_Tile_00_Date_20240603.tif,41,280513
111,ImgROI_10_Tile_00_Date_20240603.tif,8,4125
112,ImgROI_1100_Tile_00_Date_20240603.tif,269,202552
113,ImgROI_1101_Tile_00_Date_20240603.tif,81,154414
114,ImgROI_1102_Tile_00_Date_20240603.tif,110,238487
115,ImgROI_1103_Tile_00_Date_20240603.tif,91,30568
116,ImgROI_1104_Tile_00_Date_20240603.tif,6,1866
117,ImgROI_1105_Tile_00_Date_20240603.tif,27,9336
118,ImgROI_1106_Tile_00_Date_20240603.tif,12,32079
119,ImgROI_1107_Tile_00_Date_20240603.tif,5,325394
120,ImgROI_1108_Tile_00_Date_20240603.tif,6,258568
121,ImgROI_1109_Tile_00_Date_20240603.tif,2,185
122,ImgROI_110_Tile_00_Date_20240603.tif,12,6403
123,ImgROI_1110_Tile_00_Date_20240603.tif,2,5354
124,ImgROI_1111_Tile_00_Date_20240603.tif,226,345447
125,ImgROI_1112_Tile_00_Date_20240603.tif,239,124791
126,ImgROI_1113_Tile_00_Date_20240603.tif,13,1741
127,ImgROI_1114_Tile_00_Date_20240603.tif,55,16416
128,ImgROI_1115_Tile_00_Date_20240603.tif,75,299615
129,ImgROI_1116_Tile_00_Date_20240603.tif,36,23327
130,ImgROI_1117_Tile_00_Date_20240603.tif,15,2511
131,ImgROI_1118_Tile_00_Date_20240603.tif,19,26909
132,ImgROI_1119_Tile_00_Date_20240603.tif,54,372622
133,ImgROI_111_Tile_00_Date_20240603.tif,258,140247
134,ImgROI_1120_Tile_00_Date_20240603.tif,107,331549
135,ImgROI_1121_Tile_00_Date_20240603.tif,123,351255
136,ImgROI_1122_Tile_00_Date_20240603.tif,89,63338
137,ImgROI_1123_Tile_00_Date_20240603.tif,21,2532
138,ImgROI_1124_Tile_00_Date_20240603.tif,5,612
139,ImgROI_1125_Tile_00_Date_20240603.tif,174,427847
140,ImgROI_1126_Tile_00_Date_20240603.tif,191,141756
141,ImgROI_1127_Tile_00_Date_20240603.tif,43,69826
142,ImgROI_1128_Tile_00_Date_20240603.tif,20,76274
143,ImgROI_1129_Tile_00_Date_20240603.tif,121,64725
144,ImgROI_112_Tile_00_Date_20240603.tif,189,361227
145,ImgROI_1130_Tile_00_Date_20240603.tif,37,60642
146,ImgROI_1131_Tile_00_Date_20240603.tif,147,216675
147,ImgROI_1132_Tile_00_Date_20240603.tif,35,56746
148,ImgROI_1133_Tile_00_Date_20240603.tif,219,337553
149,ImgROI_1134_Tile_00_Date_20240603.tif,64,55445
150,ImgROI_1135_Tile_00_Date_20240603.tif,114,50181
151,ImgROI_1136_Tile_00_Date_20240603.tif,48,19524
152,ImgROI_1137_Tile_00_Date_20240603.tif,0,0
153,ImgROI_1138_Tile_00_Date_20240603.tif,47,22427
154,ImgROI_1139_Tile_00_Date_20240603.tif,74,292027
155,ImgROI_113_Tile_00_Date_20240603.tif,43,190658
156,ImgROI_1140_Tile_00_Date_20240603.tif,0,0
157,ImgROI_1141_Tile_00_Date_20240603.tif,73,270095
158,ImgROI_1142_Tile_00_Date_20240603.tif,60,56429
159,ImgROI_1143_Tile_00_Date_20240603.tif,36,15380
160,ImgROI_1144_Tile_00_Date_20240603.tif,97,392492
161,ImgROI_1145_Tile_00_Date_20240603.tif,166,61889
162,ImgROI_1146_Tile_00_Date_20240603.tif,149,63649
163,ImgROI_1147_Tile_00_Date_20240603.tif,45,23637
164,ImgROI_1148_Tile_00_Date_20240603.tif,338,334806
165,ImgROI_1149_Tile_00_Date_20240603.tif,223,58397
166,ImgROI_114_Tile_00_Date_20240603.tif,49,192660
167,ImgROI_1150_Tile_00_Date_20240603.tif,360,455214
168,ImgROI_1151_Tile_00_Date_20240603.tif,4,1269
169,ImgROI_1152_Tile_00_Date_20240603.tif,10,2754
170,ImgROI_1153_Tile_00_Date_20240603.tif,91,45092
171,ImgROI_1154_Tile_00_Date_20240603.tif,381,372769
172,ImgROI_1155_Tile_00_Date_20240603.tif,262,332611
173,ImgROI_1156_Tile_00_Date_20240603.tif,267,360949
174,ImgROI_1157_Tile_00_Date_20240603.tif,67,16668
175,ImgROI_1158_Tile_00_Date_20240603.tif,9,11788
176,ImgROI_1159_Tile_00_Date_20240603.tif,113,141266
177,ImgROI_115_Tile_00_Date_20240603.tif,27,307858
178,ImgROI_1160_Tile_00_Date_20240603.tif,109,342390
179,ImgROI_1161_Tile_00_Date_20240603.tif,117,279124
180,ImgROI_1162_Tile_00_Date_20240603.tif,52,20354
181,ImgROI_1163_Tile_00_Date_20240603.tif,88,34591
182,ImgROI_1164_Tile_00_Date_20240603.tif,20,12748
183,ImgROI_1165_Tile_00_Date_20240603.tif,54,330583
184,ImgROI_1166_Tile_00_Date_20240603.tif,10,8262
185,ImgROI_1167_Tile_00_Date_20240603.tif,74,91850
186,ImgROI_1168_Tile_00_Date_20240603.tif,65,23247
187,ImgROI_1169_Tile_00_Date_20240603.tif,109,383894
188,ImgROI_116_Tile_00_Date_20240603.tif,17,2958
189,ImgROI_1170_Tile_00_Date_20240603.tif,155,108307
190,ImgROI_1171_Tile_00_Date_20240603.tif,141,601022
191,ImgROI_1172_Tile_00_Date_20240603.tif,77,130995
192,ImgROI_1173_Tile_00_Date_20240603.tif,66,103621
193,ImgROI_1174_Tile_00_Date_20240603.tif,220,136476
194,ImgROI_1175_Tile_00_Date_20240603.tif,122,67251
195,ImgROI_1176_Tile_00_Date_20240603.tif,59,43063
196,ImgROI_1177_Tile_00_Date_20240603.tif,186,76952
197,ImgROI_1178_Tile_00_Date_20240603.tif,77,390999
198,ImgROI_1179_Tile_00_Date_20240603.tif,95,70770
199,ImgROI_117_Tile_00_Date_20240603.tif,11,197036
200,ImgROI_1180_Tile_00_Date_20240603.tif,398,482297
201,ImgROI_1181_Tile_00_Date_20240603.tif,280,334138
202,ImgROI_1182_Tile_00_Date_20240603.tif,0,0
203,ImgROI_1183_Tile_00_Date_20240603.tif,401,441627
204,ImgROI_1184_Tile_00_Date_20240603.tif,71,44819
205,ImgROI_1185_Tile_00_Date_20240603.tif,594,472303
206,ImgROI_1186_Tile_00_Date_20240603.tif,511,475885
207,ImgROI_1187_Tile_00_Date_20240603.tif,354,134870
208,ImgROI_1188_Tile_00_Date_20240603.tif,17,4137
209,ImgROI_1189_Tile_00_Date_20240603.tif,92,76876
210,ImgROI_118_Tile_00_Date_20240603.tif,0,0
211,ImgROI_1190_Tile_00_Date_20240603.tif,12,5673
212,ImgROI_1191_Tile_00_Date_20240603.tif,15,262708
213,ImgROI_1192_Tile_00_Date_20240603.tif,27,5216
