name,raw_R_entropy,raw_G_entropy,raw_B_entropy,raw_total_objects,raw_total_area,name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage,R_entropy_diff,G_entropy_diff,B_entropy_diff,total_objects_diff,delta_no
ImgROI_0_Tile_00_Date_20240603.tif,8.666292990521285,8.613921771087387,7.995632786485825,28,82754,ImgROI_0_Tile_00_Date_20240603.tif,6.743862367861903,6.590894065929035,6.44328328202239,28,84163,2329,3.55,1.9224306226593821,2.023027705158352,1.552349504463435,0,0.0
ImgROI_0_Tile_00_Date_20240608.tif,8.612544310831067,8.692013906817454,8.021396571296485,25,81664,ImgROI_0_Tile_00_Date_20240608.tif,7.765017205524179,7.609488898888808,7.520390223508333,25,77848,2652,4.05,0.847527105306888,1.0825250079286466,0.5010063477881523,0,0.0
ImgROI_0_Tile_00_Date_20240613.tif,8.229535214010983,7.9693022510988305,7.428288023289741,33,85613,ImgROI_0_Tile_00_Date_20240613.tif,7.927564439171031,7.928013744112714,7.999232688447266,33,85613,0,0.0,0.30197077483995205,0.04128850698611686,-0.5709446651575254,0,0.0
ImgROI_0_Tile_00_Date_20240618.tif,8.236620345168031,8.052459495261358,7.438781150707197,33,86850,ImgROI_0_Tile_00_Date_20240618.tif,8.021036237785435,8.04116570877274,8.043915264010746,33,86850,0,0.0,0.2155841073825968,0.011293786488618451,-0.6051341133035493,0,0.0
ImgROI_0_Tile_00_Date_20240623.tif,8.379304924804243,8.452377084059956,8.39319166695468,0,0,ImgROI_0_Tile_00_Date_20240623.tif,1.8084314408290492,1.924457754814512,1.9330275661456653,2,3941,61670,94.1,6.570873483975194,6.527919329245444,6.460164100809014,2,0.0
ImgROI_0_Tile_00_Date_20240628.tif,8.177486727391505,7.943750519806873,7.347313801027872,33,86242,ImgROI_0_Tile_00_Date_20240628.tif,7.973426450774589,7.934741479904203,7.965029277733021,33,86242,0,0.0,0.20406027661691617,0.009009039902669436,-0.6177154767051487,0,0.0
ImgROI_0_Tile_00_Date_20240703.tif,9.636659116738622,9.554658708258698,9.490170978139302,0,0,ImgROI_0_Tile_00_Date_20240703.tif,0.971788199166722,1.0209639672505626,1.0033731143803453,12,6529,61896,94.45,8.6648709175719,8.533694741008135,8.486797863758957,12,0.0
ImgROI_0_Tile_00_Date_20240708.tif,8.505476951349516,8.031436310511477,7.599959640290005,33,85716,ImgROI_0_Tile_00_Date_20240708.tif,7.994632681828618,8.110161518952795,8.10701922463939,33,85716,0,0.0,0.5108442695208986,-0.07872520844131792,-0.5070595843493857,0,0.0
ImgROI_0_Tile_00_Date_20240713.tif,8.698173641409536,7.934003126967122,7.702427127518584,30,84681,ImgROI_0_Tile_00_Date_20240713.tif,8.026018139619735,8.005804910146095,8.03498008857805,31,84173,278,0.42,0.6721555017898009,-0.07180178317897301,-0.3325529610594664,1,3.3333333333333335
ImgROI_0_Tile_00_Date_20240718.tif,9.57648503279766,8.960693984288149,8.752218800471036,25,84292,ImgROI_0_Tile_00_Date_20240718.tif,7.495210438952071,7.615247120974101,7.733587358512643,27,69224,6214,9.48,2.0812745938455883,1.3454468633140477,1.0186314419583935,2,8.0
ImgROI_0_Tile_00_Date_20240723.tif,8.937402062379036,7.831283695729225,7.735188306572477,35,87131,ImgROI_0_Tile_00_Date_20240723.tif,8.127599637380404,8.124615427256952,8.095196343110569,35,87131,0,0.0,0.8098024249986313,-0.2933317315277266,-0.3600080365380922,0,0.0
ImgROI_0_Tile_00_Date_20240728.tif,9.800057870681814,9.262494900994504,9.014262165359147,28,89138,ImgROI_0_Tile_00_Date_20240728.tif,3.405764305281905,3.187360711656428,3.04648023607806,33,82934,6321,9.65,6.3942935653999085,6.075134189338076,5.967781929281087,5,17.857142857142858
ImgROI_0_Tile_00_Date_20240802.tif,9.087361487522204,7.953687942580113,7.913788930174959,36,86969,ImgROI_0_Tile_00_Date_20240802.tif,8.20660507828547,8.180745937305785,8.239087585119478,36,86969,0,0.0,0.8807564092367333,-0.2270579947256719,-0.32529865494451915,0,0.0
ImgROI_0_Tile_00_Date_20240807.tif,9.182066837385134,8.078407687731707,8.101687218870557,36,89083,ImgROI_0_Tile_00_Date_20240807.tif,8.396682400844735,8.43782442870127,8.344153765331448,36,89083,0,0.0,0.785384436540399,-0.35941674096956255,-0.24246654646089105,0,0.0
ImgROI_0_Tile_00_Date_20240812.tif,10.55704171221038,10.239264740081577,10.060248540429011,16,11049,ImgROI_0_Tile_00_Date_20240812.tif,4.935003915098435,4.912204768112525,4.890552176337667,18,8708,22354,34.11,5.622037797111944,5.327059971969052,5.169696364091345,2,12.5
ImgROI_0_Tile_00_Date_20240817.tif,8.996388781467987,7.92017002091942,7.871266498769081,36,120352,ImgROI_0_Tile_00_Date_20240817.tif,8.421707506246916,8.32560155388408,8.361811672913582,36,120352,0,0.0,0.5746812752210708,-0.40543153296466095,-0.4905451741445015,0,0.0
ImgROI_0_Tile_00_Date_20240822.tif,10.49780792162092,10.353059094488223,10.250521917187982,19,7153,ImgROI_0_Tile_00_Date_20240822.tif,4.991519334202598,4.997741093171317,5.064729257548781,21,53608,22864,34.89,5.506288587418322,5.355318001316906,5.1857926596392,2,10.526315789473683
ImgROI_0_Tile_00_Date_20240827.tif,8.862701356892922,7.918277239705356,7.808776438628365,32,108643,ImgROI_0_Tile_00_Date_20240827.tif,8.277550112440895,8.395611570178175,8.365189751235087,32,108643,0,0.0,0.5851512444520264,-0.4773343304728197,-0.5564133126067228,0,0.0
