name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage
ImgROI_0_Tile_00_Date_20240603.tif,6.743862367861903,6.590894065929035,6.44328328202239,28,84163,2329,3.55
ImgROI_0_Tile_00_Date_20240608.tif,7.765017205524179,7.609488898888808,7.520390223508333,25,77848,2652,4.05
ImgROI_0_Tile_00_Date_20240613.tif,7.927564439171031,7.928013744112714,7.999232688447266,33,85613,0,0.0
ImgROI_0_Tile_00_Date_20240618.tif,8.021036237785435,8.04116570877274,8.043915264010746,33,86850,0,0.0
ImgROI_0_Tile_00_Date_20240623.tif,1.8084314408290494,1.9244577548145119,1.9330275661456653,2,3941,61670,94.1
ImgROI_0_Tile_00_Date_20240628.tif,7.973426450774589,7.934741479904203,7.965029277733021,33,86242,0,0.0
ImgROI_0_Tile_00_Date_20240703.tif,0.9717881991667219,1.0209639672505626,1.0033731143803453,12,6529,61896,94.45
ImgROI_0_Tile_00_Date_20240708.tif,7.994632681828618,8.110161518952795,8.10701922463939,33,85716,0,0.0
ImgROI_0_Tile_00_Date_20240713.tif,8.026018139619735,8.005804910146095,8.03498008857805,31,84173,278,0.42
ImgROI_0_Tile_00_Date_20240718.tif,7.495210438952071,7.615247120974101,7.733587358512643,27,69224,6214,9.48
ImgROI_0_Tile_00_Date_20240723.tif,8.127599637380404,8.124615427256952,8.095196343110569,35,87131,0,0.0
ImgROI_0_Tile_00_Date_20240728.tif,3.405764305281905,3.187360711656428,3.0464802360780596,33,82934,6321,9.65
ImgROI_0_Tile_00_Date_20240802.tif,8.20660507828547,8.180745937305785,8.239087585119478,36,86969,0,0.0
ImgROI_0_Tile_00_Date_20240807.tif,8.396682400844735,8.43782442870127,8.344153765331448,36,89083,0,0.0
ImgROI_0_Tile_00_Date_20240812.tif,4.935003915098435,4.912204768112525,4.890552176337667,18,8708,22354,34.11
ImgROI_0_Tile_00_Date_20240817.tif,8.421707506246916,8.32560155388408,8.361811672913582,36,120352,0,0.0
ImgROI_0_Tile_00_Date_20240822.tif,4.991519334202598,4.997741093171317,5.064729257548781,21,53608,22864,34.89
ImgROI_0_Tile_00_Date_20240827.tif,8.277550112440895,8.395611570178175,8.365189751235087,32,108643,0,0.0
ImgROI_0_Tile_00_Date_20240901.tif,8.375156269366038,8.399483151995941,8.408284003057963,37,107998,0,0.0
ImgROI_0_Tile_00_Date_20240906.tif,8.345162047439402,8.332467616807971,8.40273084213913,34,109822,812,1.24
ImgROI_0_Tile_00_Date_20240911.tif,8.345354844109055,8.462063910491304,8.36923786123585,36,108771,0,0.0
ImgROI_0_Tile_00_Date_20240916.tif,8.257087665892668,8.334418044785567,8.297183010455475,33,112351,0,0.0
ImgROI_0_Tile_00_Date_20240921.tif,8.104122215220633,8.098984061845798,8.039654351414825,30,115280,0,0.0
ImgROI_0_Tile_00_Date_20240926.tif,8.418721519244166,8.398134548455797,8.347745149639692,34,112888,0,0.0
ImgROI_0_Tile_01_Date_20240603.tif,7.743171042045944,7.7917395700431635,7.8670320732183345,58,102993,7715,11.77
ImgROI_0_Tile_01_Date_20240608.tif,4.561464237004562,4.414091538346388,4.413368631102303,45,71027,20634,31.48
ImgROI_0_Tile_01_Date_20240613.tif,7.882144527954578,7.91626754654614,7.884086651413782,38,22917,1231,1.88
ImgROI_0_Tile_01_Date_20240618.tif,6.529743853034633,6.37682423538455,6.3889677530594,67,111383,4551,6.94
ImgROI_0_Tile_01_Date_20240623.tif,0.0,0.0,0.0,7,17425,57550,87.81
ImgROI_0_Tile_01_Date_20240628.tif,8.411744635863577,8.40514149379772,8.379928083067535,73,76017,0,0.0
ImgROI_0_Tile_01_Date_20240703.tif,2.2893040999290393,2.1330990440385658,2.1010664080917807,31,15603,59767,91.2
ImgROI_0_Tile_01_Date_20240708.tif,8.532393687142795,8.496686639065468,8.469746377327098,76,86421,0,0.0
ImgROI_0_Tile_01_Date_20240713.tif,8.398693538707217,8.373837942734067,8.354227596238754,76,68520,0,0.0
ImgROI_0_Tile_01_Date_20240718.tif,7.950221538954327,7.852290239438959,7.806725501861237,47,116401,9402,14.35
ImgROI_0_Tile_01_Date_20240723.tif,8.39361729215865,8.389768280969598,8.33688318079307,81,91698,0,0.0
ImgROI_0_Tile_01_Date_20240728.tif,8.032481284532492,7.985681833347784,7.937310919991943,58,92909,8638,13.18
ImgROI_0_Tile_01_Date_20240802.tif,8.306486792402398,8.359205081610975,8.378226084340612,78,69769,0,0.0
ImgROI_0_Tile_01_Date_20240807.tif,8.431246857255099,8.45979271938556,8.422144944352356,82,77197,0,0.0
ImgROI_0_Tile_01_Date_20240812.tif,6.6621184299345835,7.189685153444821,7.336527263956402,54,81335,17531,26.75
ImgROI_0_Tile_01_Date_20240817.tif,8.324478230694742,8.281180052813847,8.28881367487448,67,66653,0,0.0
ImgROI_0_Tile_01_Date_20240822.tif,8.513326189394366,8.458276800104215,8.463295051230245,65,60106,2362,3.6
ImgROI_0_Tile_01_Date_20240827.tif,8.507057818878176,8.466827874929946,8.485695140446222,65,66545,0,0.0
ImgROI_0_Tile_01_Date_20240901.tif,8.406826430819988,8.529554091482138,8.57025868123323,78,64626,0,0.0
ImgROI_0_Tile_01_Date_20240906.tif,8.647228089309582,8.641995118641828,8.615727020476127,84,72809,0,0.0
ImgROI_0_Tile_01_Date_20240911.tif,8.60962387988598,8.655154982634324,8.628881459841713,86,65473,0,0.0
ImgROI_0_Tile_01_Date_20240916.tif,8.666339996261645,8.705843507235132,8.699126690182954,82,65447,0,0.0
ImgROI_0_Tile_01_Date_20240921.tif,8.625399977516562,8.604046511526404,8.589340741170801,78,71658,0,0.0
ImgROI_0_Tile_01_Date_20240926.tif,8.803041569677744,8.82113713031216,8.735363298305742,81,83486,0,0.0
ImgROI_0_Tile_02_Date_20240603.tif,8.414470556537916,8.418016869074224,8.512727797757691,101,131510,70,0.11
ImgROI_0_Tile_02_Date_20240608.tif,7.17826888255375,7.145267609157986,7.164186001101973,66,33194,4254,6.49
ImgROI_0_Tile_02_Date_20240613.tif,8.569402215094284,8.608733778917653,8.550575515196638,115,111944,0,0.0
ImgROI_0_Tile_02_Date_20240618.tif,8.382699705542672,8.354268881577472,8.366171115737739,109,100155,741,1.13
ImgROI_0_Tile_02_Date_20240623.tif,0.0,0.0,0.0,3,3547,62538,95.43
ImgROI_0_Tile_02_Date_20240628.tif,8.416369354696217,8.339296542616221,8.431536985544843,106,100245,0,0.0
ImgROI_0_Tile_02_Date_20240703.tif,3.928591079110596,4.065075190119629,4.184501911923987,11,15057,58835,89.78
ImgROI_0_Tile_02_Date_20240708.tif,8.486036180216837,8.523371829208655,8.502369403254823,104,122987,831,1.27
ImgROI_0_Tile_02_Date_20240713.tif,8.384644708893353,8.340070099256948,8.40512985671998,103,125407,0,0.0
ImgROI_0_Tile_02_Date_20240718.tif,8.531288088226411,8.548089529669598,8.633574366806712,101,130506,0,0.0
ImgROI_0_Tile_02_Date_20240723.tif,8.465769184732709,8.541403907999198,8.522835478441214,109,127646,0,0.0
ImgROI_0_Tile_02_Date_20240728.tif,8.58920171051164,8.633329725370926,8.673858795103854,63,58938,15399,23.5
ImgROI_0_Tile_02_Date_20240802.tif,8.564155540643084,8.508167205609446,8.48992412021249,110,121592,0,0.0
ImgROI_0_Tile_02_Date_20240807.tif,8.608864027028698,8.527479988252516,8.70392050163609,113,128933,0,0.0
ImgROI_0_Tile_02_Date_20240812.tif,5.378954027719494,5.3343385817475,5.377006211353831,74,85419,15618,23.83
ImgROI_0_Tile_02_Date_20240817.tif,8.468104287576006,8.419048855231335,8.558381802745812,108,124338,0,0.0
ImgROI_0_Tile_02_Date_20240822.tif,5.837543821933112,5.754690347418829,5.660110589359582,54,115824,21892,33.4
ImgROI_0_Tile_02_Date_20240827.tif,8.600241266082133,8.610856079165796,8.675434763428296,105,129406,0,0.0
ImgROI_0_Tile_02_Date_20240901.tif,8.704957912420113,8.64367105816914,8.727037811385012,107,121613,0,0.0
ImgROI_0_Tile_02_Date_20240906.tif,8.60338734821042,8.642469764444693,8.749206962948646,110,133428,0,0.0
ImgROI_0_Tile_02_Date_20240911.tif,8.754369809428022,8.78235647944537,8.773376320550302,104,119026,0,0.0
ImgROI_0_Tile_02_Date_20240916.tif,8.622901206679678,8.672410435307679,8.746188059454942,99,119043,0,0.0
ImgROI_0_Tile_02_Date_20240921.tif,8.585085272311243,8.538047537602923,8.6112024877932,97,111376,0,0.0
ImgROI_0_Tile_02_Date_20240926.tif,8.721901453998923,8.685283025540052,8.736005184970239,96,130209,0,0.0
ImgROI_0_Tile_03_Date_20240603.tif,8.652609088131458,8.715932837914629,8.674067949951395,122,89170,275,0.42
ImgROI_0_Tile_03_Date_20240608.tif,8.84119290424304,8.830646204412167,8.80267231970466,79,44363,12767,19.48
ImgROI_0_Tile_03_Date_20240613.tif,8.550513885111632,8.54878703410345,8.571098789194293,108,88542,0,0.0
ImgROI_0_Tile_03_Date_20240618.tif,7.534619775879233,7.583441415098434,7.47961361214902,103,78460,2337,3.57
ImgROI_0_Tile_03_Date_20240623.tif,4.8483322385974255,4.9379466977413,4.9213831848076115,2,3549,62125,94.8
ImgROI_0_Tile_03_Date_20240628.tif,8.502840476189643,8.53616529775769,8.57074875192872,103,80022,0,0.0
ImgROI_0_Tile_03_Date_20240703.tif,0.0,0.0,0.0,7,4928,61333,93.59
ImgROI_0_Tile_03_Date_20240708.tif,8.633626999396759,8.616985438132271,8.666289084780775,103,100181,0,0.0
ImgROI_0_Tile_03_Date_20240713.tif,8.45538084922633,8.456028375464577,8.43605599961184,96,71457,4355,6.65
ImgROI_0_Tile_03_Date_20240718.tif,8.156201690157296,8.185473266924078,8.063568222624655,45,40040,37420,57.1
ImgROI_0_Tile_03_Date_20240723.tif,8.582834930725035,8.556947719610156,8.617075409069432,106,73785,0,0.0
ImgROI_0_Tile_03_Date_20240728.tif,8.664667844549216,8.657032716326247,8.687467030752767,104,88204,3554,5.42
ImgROI_0_Tile_03_Date_20240802.tif,8.695409563916973,8.677264943560555,8.656238095219145,105,59498,0,0.0
ImgROI_0_Tile_03_Date_20240807.tif,8.768688119873792,8.82995697913485,8.850976681740171,114,99597,0,0.0
ImgROI_0_Tile_03_Date_20240812.tif,7.349953592712379,7.215665691883613,7.193172795464522,63,43355,23837,36.37
ImgROI_0_Tile_03_Date_20240817.tif,8.828974052699742,8.804671807404258,8.767508823900982,102,84436,0,0.0
ImgROI_0_Tile_03_Date_20240822.tif,3.434912903682238,3.4646441865113102,3.478009632483304,23,17334,57043,87.04
ImgROI_0_Tile_03_Date_20240827.tif,8.846519418716,8.82930138868691,8.840621860105347,109,83527,0,0.0
ImgROI_0_Tile_03_Date_20240901.tif,8.849598231185531,8.894289225972816,8.863601990953974,117,87554,0,0.0
ImgROI_0_Tile_03_Date_20240906.tif,8.87935702411818,8.881831157620642,8.89028197141709,111,84070,0,0.0
ImgROI_0_Tile_03_Date_20240911.tif,8.925030945340573,8.94262179821079,8.880373585382667,117,89791,0,0.0
ImgROI_0_Tile_03_Date_20240916.tif,8.930937501446182,8.89160951049086,8.921368303423506,110,83122,0,0.0
ImgROI_0_Tile_03_Date_20240921.tif,8.809931052218461,8.870646143993321,8.85087485877843,108,79930,0,0.0
ImgROI_0_Tile_03_Date_20240926.tif,7.820727801382821,7.8892385160403276,7.899113267245372,110,82390,2776,4.24
ImgROI_0_Tile_04_Date_20240603.tif,8.450479799876408,8.510388418519584,8.541373846037864,262,108176,0,0.0
ImgROI_0_Tile_04_Date_20240608.tif,8.352549908563693,8.409207724044006,8.414734195734372,3,1567,7113,10.85
ImgROI_0_Tile_04_Date_20240613.tif,8.5036306059551,8.507099517917247,8.57293839671519,251,111289,0,0.0
ImgROI_0_Tile_04_Date_20240618.tif,8.725497544595656,8.753226787867375,8.872679266522296,253,101102,741,1.13
ImgROI_0_Tile_04_Date_20240623.tif,0.0,0.0,0.0,4,4767,63155,96.37
ImgROI_0_Tile_04_Date_20240628.tif,8.764874595272982,8.721233078241141,8.806163014471613,245,100732,0,0.0
ImgROI_0_Tile_04_Date_20240703.tif,3.4935778459136824,3.503616265112311,3.4393289558937514,15,6822,61556,93.93
ImgROI_0_Tile_04_Date_20240708.tif,8.695417843073507,8.718225229256236,8.823657469007003,242,160672,872,1.33
ImgROI_0_Tile_04_Date_20240713.tif,8.752177525058773,8.784930584150704,8.797872295800701,213,145428,3487,5.32
ImgROI_0_Tile_04_Date_20240718.tif,8.896817843824191,8.860174992977736,8.886694878315316,248,158944,1570,2.4
ImgROI_0_Tile_04_Date_20240723.tif,8.770557574409182,8.80244588820563,8.78128521888513,249,97422,0,0.0
ImgROI_0_Tile_04_Date_20240728.tif,3.0396169381058105,3.043204031207586,3.0464465116707022,158,113153,13748,20.98
ImgROI_0_Tile_04_Date_20240802.tif,8.790483530122698,8.848316178965721,8.837215711648648,247,98446,0,0.0
ImgROI_0_Tile_04_Date_20240807.tif,8.93001642004292,8.91499609900999,8.952454635429923,250,99107,0,0.0
ImgROI_0_Tile_04_Date_20240812.tif,7.204051297068246,7.266258381118178,7.247705451332387,97,37773,24576,37.5
ImgROI_0_Tile_04_Date_20240817.tif,8.717915048962736,8.799853573563542,8.78840849360781,248,102462,0,0.0
ImgROI_0_Tile_04_Date_20240822.tif,7.257966877239547,7.281407950107592,7.31947552357036,68,55705,39730,60.62
ImgROI_0_Tile_04_Date_20240827.tif,8.629037982099206,8.630390158507396,8.680238360200303,243,100832,0,0.0
ImgROI_0_Tile_04_Date_20240901.tif,8.707283802821616,8.704470696254246,8.76027094090672,244,99462,0,0.0
ImgROI_0_Tile_04_Date_20240906.tif,8.75783872139017,8.794545269027337,8.800966533162857,239,96138,0,0.0
ImgROI_0_Tile_04_Date_20240911.tif,8.801135625783354,8.851966968858209,8.895456669921046,246,105880,0,0.0
ImgROI_0_Tile_04_Date_20240916.tif,8.810439332850706,8.85262255930615,8.834464235166285,244,101883,0,0.0
ImgROI_0_Tile_04_Date_20240921.tif,8.835413526772015,8.821750806774187,8.825861605400831,238,101147,0,0.0
ImgROI_0_Tile_04_Date_20240926.tif,8.8334476739018,8.889160014322819,8.956041728531698,247,109854,0,0.0
ImgROI_0_Tile_05_Date_20240603.tif,8.690705938347838,8.73469492254796,8.798825160274475,67,88748,582,0.89
ImgROI_0_Tile_05_Date_20240608.tif,4.769864862168662,4.858667491465334,4.847906212160007,42,77334,25146,38.37
ImgROI_0_Tile_05_Date_20240613.tif,8.10684391956807,8.122414220272315,8.117774001667483,55,76874,0,0.0
ImgROI_0_Tile_05_Date_20240618.tif,8.814265642761356,8.815726787867375,8.771616049659581,56,68791,2279,3.48
ImgROI_0_Tile_05_Date_20240623.tif,0.8003507282025789,0.8015937209660987,0.8481414856022382,5,1828,63873,97.46
ImgROI_0_Tile_05_Date_20240628.tif,8.738206466834445,8.785849813795098,8.824748645801515,60,93822,0,0.0
ImgROI_0_Tile_05_Date_20240703.tif,0.0,0.0,0.0,10,4733,63436,96.8
ImgROI_0_Tile_05_Date_20240708.tif,8.781364340568466,8.75712485877843,8.701899949470118,60,106628,0,0.0
ImgROI_0_Tile_05_Date_20240713.tif,8.512806000967423,8.560521323875324,8.56001060379548,60,112723,65,0.1
ImgROI_0_Tile_05_Date_20240718.tif,8.79997175470317,8.769465679276243,8.767998894596472,57,85970,535,0.82
ImgROI_0_Tile_05_Date_20240723.tif,8.738349285308493,8.729314642064509,8.761366623854544,59,123343,0,0.0
ImgROI_0_Tile_05_Date_20240728.tif,8.895112057282386,8.84562103859114,8.8443898978522,40,68354,32483,49.57
ImgROI_0_Tile_05_Date_20240802.tif,8.861585226602887,8.91565168945793,8.885711951880207,56,102740,0,0.0
ImgROI_0_Tile_05_Date_20240807.tif,8.937740800864628,8.870646143993321,8.944839438252886,64,93230,3955,6.03
ImgROI_0_Tile_05_Date_20240812.tif,3.573141658980351,3.677624154793985,3.7027813491694097,38,24348,27676,42.23
ImgROI_0_Tile_05_Date_20240817.tif,8.808288962467367,8.821805291123102,8.788193914133355,63,104050,0,0.0
ImgROI_0_Tile_05_Date_20240822.tif,6.30667136003937,6.076042716357606,6.072326749191566,32,25138,54524,83.2
ImgROI_0_Tile_05_Date_20240827.tif,8.669788058704258,8.6702963393365,8.633792519149209,65,104836,0,0.0
ImgROI_0_Tile_05_Date_20240901.tif,8.778878355041424,8.72027100132557,8.773879176555633,66,100907,0,0.0
ImgROI_0_Tile_05_Date_20240906.tif,8.70846045921164,8.71226234673471,8.689886679906316,68,107615,0,0.0
ImgROI_0_Tile_05_Date_20240911.tif,8.913392135429923,8.807586951880205,8.751799277590735,59,102335,0,0.0
ImgROI_0_Tile_05_Date_20240916.tif,8.802034005908213,8.750912749490453,8.830697115893036,64,103756,0,0.0
ImgROI_0_Tile_05_Date_20240921.tif,8.65869137920207,8.603429047249492,8.57169561889851,58,101846,0,0.0
ImgROI_0_Tile_05_Date_20240926.tif,8.838525974070926,8.83400686601491,8.855953158947559,63,97577,0,0.0
ImgROI_0_Tile_06_Date_20240603.tif,8.713614308196059,8.795040764349737,8.758544304845378,71,122324,1,0.0
ImgROI_0_Tile_06_Date_20240608.tif,8.815693153037996,8.75935077797706,8.863925754073097,63,103742,6799,10.37
ImgROI_0_Tile_06_Date_20240613.tif,8.562500665582148,8.598921791218055,8.549954478051678,63,126932,11,0.02
ImgROI_0_Tile_06_Date_20240618.tif,6.501468131574621,6.5778100535780615,6.650460262798577,42,87839,14505,22.13
ImgROI_0_Tile_06_Date_20240623.tif,1.9830087381693875,2.021269256379353,2.016054362512614,6,5639,62915,96.0
